rID,DaysAfterPlanting,Genotype,Location,Humidity,GDD,Growth.rate
200,100,Gen-B,Loc-K,81.4,2191.5,-0.684504133
201,1,Gen-A,Loc-N,47.16,10.5,-0.636686211
202,2,Gen-A,Loc-N,24.09,18,-0.636349618
203,3,Gen-A,Loc-N,25.03,24.5,-0.635985428
204,4,Gen-A,Loc-N,18.08,35.5,-0.63559138
205,5,Gen-A,Loc-N,11.61,39,-0.635165023
206,6,Gen-A,Loc-N,12.41,39.5,-0.63470371
207,7,Gen-A,Loc-N,22.08,40,-0.634204575
208,8,Gen-A,Loc-N,25.82,40,-0.633664517
209,9,Gen-A,Loc-N,36.49,48,-0.63308018
210,10,Gen-A,Loc-N,49.7,55.5,-0.632447935
211,11,Gen-A,Loc-N,62.33,66,-0.631763851
212,12,Gen-A,Loc-N,54.51,76,-0.631023682
213,13,Gen-A,Loc-N,33.4,87,-0.630222827
214,14,Gen-A,Loc-N,23.98,106.5,-0.629356311
215,15,Gen-A,Loc-N,18.23,120,-0.628418751
216,16,Gen-A,Loc-N,19.57,135,-0.627404321
217,17,Gen-A,Loc-N,22.98,149.5,-0.626306721
218,18,Gen-A,Loc-N,16.24,163,-0.625119129
219,19,Gen-A,Loc-N,17.64,168,-0.623834169
220,20,Gen-A,Loc-N,22.67,182.5,-0.622443856
221,21,Gen-A,Loc-N,44,199,-0.620939555
222,22,Gen-A,Loc-N,42.98,216,-0.619311918
223,23,Gen-A,Loc-N,38.09,225.5,-0.617550833
224,24,Gen-A,Loc-N,30.83,238,-0.615645359
225,25,Gen-A,Loc-N,31.87,258.5,-0.613583659
226,26,Gen-A,Loc-N,26.34,276.5,-0.611352923
227,27,Gen-A,Loc-N,38.66,291.5,-0.608939293
228,28,Gen-A,Loc-N,39.71,308.5,-0.606327772
229,29,Gen-A,Loc-N,28.26,328,-0.603502137
230,30,Gen-A,Loc-N,23.72,346.5,-0.600444833
231,31,Gen-A,Loc-N,31.29,370.5,-0.597136864
232,32,Gen-A,Loc-N,30.2,394.5,-0.593557681
233,33,Gen-A,Loc-N,22.76,418.5,-0.589685045
234,34,Gen-A,Loc-N,25.39,446,-0.585494899
235,35,Gen-A,Loc-N,29.93,470,-0.580961208
236,36,Gen-A,Loc-N,19.87,493,-0.576055807
237,37,Gen-A,Loc-N,13.52,515,-0.57074822
238,38,Gen-A,Loc-N,18.98,537.5,-0.565005471
239,39,Gen-A,Loc-N,25.97,562.5,-0.558791884
240,40,Gen-A,Loc-N,27.61,586,-0.552068853
